study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB52707	SAMEA115958634	ERX12973035	ERR13602042	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/042/ERR13602042/ERR13602042.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602042/ARB002.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602042/ARB002.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958636	ERX12973037	ERR13602044	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/044/ERR13602044/ERR13602044.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602044/ARB004_015.merged.hg19.sort.rmdup.RG.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602044/ARB004_015.merged.hg19.sort.rmdup.RG.bam.bai		
PRJEB52707	SAMEA115958640	ERX12973041	ERR13602048	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/048/ERR13602048/ERR13602048.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602048/451.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602048/451.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958641	ERX12973042	ERR13602049	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/049/ERR13602049/ERR13602049.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602049/452.merged.hg19.sort.rmdup.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602049/452.merged.hg19.sort.rmdup.sort.bam.bai		
PRJEB52707	SAMEA115958649	ERX12973050	ERR13602057	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/057/ERR13602057/ERR13602057.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602057/461.merged.hg19.sort.rmdup.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602057/461.merged.hg19.sort.rmdup.sort.bam.bai		
PRJEB52707	SAMEA115958651	ERX12973052	ERR13602059	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/059/ERR13602059/ERR13602059.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602059/464.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602059/464.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958652	ERX12973053	ERR13602060	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/060/ERR13602060/ERR13602060.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602060/465.merged.hg19.sort.rmdup.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602060/465.merged.hg19.sort.rmdup.sort.bam.bai		
PRJEB52707	SAMEA115958659	ERX12973060	ERR13602067	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/067/ERR13602067/ERR13602067.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602067/FEN001.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602067/FEN001.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958661	ERX12973062	ERR13602069	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/069/ERR13602069/ERR13602069.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602069/FEN003.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602069/FEN003.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958663	ERX12973064	ERR13602071	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/071/ERR13602071/ERR13602071.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602071/FEN005.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602071/FEN005.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
