sampleId	popId	site	country	region	groupLabel	groupAge	flag	latitude	longitude	callset	dataSource	dataAccess	color	fill	shape	ageAverage	sex	hgMT	hgYMajor	clusterIBDFine
HGDP01031	Bantu_SA	NA	Angola	SouthAfrica	Bantu_SA	Modern	0	-19	18	array	PattersonGenetics2012	public	red	red	0	0	NA	NA	NA	Bantu_SA
HGDP01030	Bantu_SA	Or Namibia	Botswana	SouthAfrica	Bantu_SA	Modern	0	-28	24	array	PattersonGenetics2012	public	red	red	0	0	NA	NA	NA	Bantu_SA
HGDP01034	Bantu_SA	Or Namibia	Botswana	SouthAfrica	Bantu_SA	Modern	0	-28	24	array	PattersonGenetics2012	public	red	red	0	0	NA	NA	NA	Bantu_SA
HGDP00994	Bantu_SA	NA	Lesotho	SouthAfrica	Bantu_SA	Modern	0	-29	29	array	PattersonGenetics2012	public	red	red	0	0	NA	NA	NA	Bantu_SA
HGDP00993	Bantu_SA	NA	SouthAfrica	SouthAfrica	Bantu_SA	Modern	0	-29	30	array	PattersonGenetics2012	public	red	red	0	0	NA	NA	NA	Bantu_SA
HGDP01033	Bantu_SA	NA	SouthAfrica	SouthAfrica	Bantu_SA	Modern	0	-28	31	array	PattersonGenetics2012	public	red	red	0	0	NA	NA	NA	Bantu_SA
SA047	Khomani	Andriesvale, Northern Cape	SouthAfrica	SouthAfrica	Khomani	Modern	0	-26.55	20.4	array	LazaridisNature2014	public	red	red	1	0	NA	NA	NA	Khomani
SA083	Khomani	Andriesvale, Northern Cape	SouthAfrica	SouthAfrica	Khomani	Modern	0	-26.55	20.4	array	LazaridisNature2014	public	red	red	1	0	NA	NA	NA	Khomani
SA1025	Khomani	Andriesvale, Northern Cape	SouthAfrica	SouthAfrica	Khomani	Modern	0	-26.55	20.4	array	LazaridisNature2014	public	red	red	1	0	NA	NA	NA	Khomani
SA010	Khomani	Upington, NorthernCape	SouthAfrica	SouthAfrica	Khomani	Modern	0	-28.25	21.15	array	LazaridisNature2014	public	red	red	1	0	NA	NA	NA	Khomani
