sample	region	subregion																				
PC537	RomanLondon	New																				
RL01	RomanLondon	New																				
RL02	RomanLondon	New																				
RL04	RomanLondon	New															       		       		       	
RL05	RomanLondon	New																			       	
RL06	RomanLondon	New																				
RL07	RomanLondon	New																				
RL08	RomanLondon	New																				
RL09	RomanLondon	New																				
RL10	RomanLondon	New																				
RL11	RomanLondon	New																				
RL12	RomanLondon	New																				
RL13	RomanLondon	New																				
RL14	RomanLondon	New																				
RL15	RomanLondon	New																				
RL16	RomanLondon	New																				
RL17	RomanLondon	New																				
RL18	RomanLondon	New																				
RL19	RomanLondon	New																				
RL20	RomanLondon	New																				
RL21	RomanLondon	New																				
RL22	RomanLondon	New																				
RL23	RomanLondon	New																				
RL24	RomanLondon	New																				
RL25	RomanLondon	New																				
RL26	RomanLondon	New																				
RL27	RomanLondon	New																				
RL28	RomanLondon	New																				
RL30	RomanLondon	New																				
RL31	RomanLondon	New																				
RL32	RomanLondon	New																				
RL33	RomanLondon	New																				
RL34	RomanLondon	New																				
450	RomanLondon	Scheib																				
451	RomanLondon	Scheib																				
452	RomanLondon	Scheib																				
453	RomanLondon	Scheib																				
454	RomanLondon	Scheib																				
456	RomanLondon	Scheib																				
457	RomanLondon	Scheib																				
458	RomanLondon	Scheib																				
459	RomanLondon	Scheib																				
460	RomanLondon	Scheib																				
461	RomanLondon	Scheib																				
462	RomanLondon	Scheib																				
465	RomanLondon	Scheib																				
466	RomanLondon	Scheib																				
467	RomanLondon	Scheib																				
469	RomanLondon	Scheib																				
470	RomanLondon	Scheib																				
471	RomanLondon	Scheib																				
474	RomanLondon	Scheib																				
475	RomanLondon	Scheib																				
476	RomanLondon	Scheib																				
478	RomanLondon	Scheib																				
479	RomanLondon	Scheib																				
480	RomanLondon	Scheib																				
481	RomanLondon	Scheib																				
482	RomanLondon	Scheib																				
483	RomanLondon	Scheib																				
484	RomanLondon	Scheib																				
485	RomanLondon	Scheib																				
486	RomanLondon	Scheib																				
489	RomanLondon	Scheib																				
490	RomanLondon	Scheib																				
491	RomanLondon	Scheib																				
FEN001	RomanLondon	Scheib																				
FEN002	RomanLondon	Scheib																				
FEN003	RomanLondon	Scheib																				
FEN004	RomanLondon	Scheib																				
FEN005	RomanLondon	Scheib																				
FEN006	RomanLondon	Scheib																				
FEN007	RomanLondon	Scheib																				
FEN008	RomanLondon	Scheib																				
FEN009	RomanLondon	Scheib																				
FEN010	RomanLondon	Scheib																				
FEN011	RomanLondon	Scheib																				
FEN012	RomanLondon	Scheib																				
FEN013	RomanLondon	Scheib																				
FEN014	RomanLondon	Scheib																				
FEN017	RomanLondon	Scheib																				
FEN018	RomanLondon	Scheib																				
FEN019	RomanLondon	Scheib																				
FEN020	RomanLondon	Scheib																				
I4664	RomanLondon	Reference																				
I15488	RomanLondon	Reference																				
I15497	RomanLondon	Reference																				
I15507	RomanLondon	Reference																				
I15516	RomanLondon	Reference																				
I15526	RomanLondon	Reference																				
I15535	RomanLondon	Reference																				
I15544	RomanLondon	Reference																				
I15553	RomanLondon	Reference																				
I26708	RomanLondon	Reference																				
I26749	RomanLondon	Reference																				
I26764	RomanLondon	Reference																				
I27295	RomanLondon	Reference																				
I28397	RomanLondon	Reference																				
I32301	RomanLondon	Reference																				
I35081	RomanLondon	Reference																				
I4803	RomanLondon	Reference																				
I15489	RomanLondon	Reference																				
I15498	RomanLondon	Reference																				
I15508	RomanLondon	Reference																				
I15517	RomanLondon	Reference																				
I15527	RomanLondon	Reference																				
I15536	RomanLondon	Reference																				
I15545	RomanLondon	Reference																				
I15554	RomanLondon	Reference																				
I26709	RomanLondon	Reference																				
I26750	RomanLondon	Reference																				
I26765	RomanLondon	Reference																				
I27296	RomanLondon	Reference																				
I28398	RomanLondon	Reference																				
I32304	RomanLondon	Reference																				
I35095	RomanLondon	Reference																				
I5404	RomanLondon	Reference																				
I15490	RomanLondon	Reference																				
I15499	RomanLondon	Reference																				
I15509	RomanLondon	Reference																				
I15518	RomanLondon	Reference																				
I15528	RomanLondon	Reference																				
I15537	RomanLondon	Reference																				
I15546	RomanLondon	Reference																				
I15555	RomanLondon	Reference																				
I26714	RomanLondon	Reference																				
I26751	RomanLondon	Reference																				
I26766	RomanLondon	Reference																				
I27297	RomanLondon	Reference																				
I28400	RomanLondon	Reference																				
I32305	RomanLondon	Reference																				
I12991	RomanLondon	Reference																				
I15491	RomanLondon	Reference																				
I15500	RomanLondon	Reference																				
I15510	RomanLondon	Reference																				
I15519	RomanLondon	Reference																				
I15529	RomanLondon	Reference																				
I15538	RomanLondon	Reference																				
I15547	RomanLondon	Reference																				
I24343	RomanLondon	Reference																				
I26718	RomanLondon	Reference																				
I26752	RomanLondon	Reference																				
I26767	RomanLondon	Reference																				
I27298	RomanLondon	Reference																				
I28446	RomanLondon	Reference																				
I34800	RomanLondon	Reference																				
I13458	RomanLondon	Reference																				
I15492	RomanLondon	Reference																				
I15501	RomanLondon	Reference																				
I15511	RomanLondon	Reference																				
I15520	RomanLondon	Reference																				
I15530	RomanLondon	Reference																				
I15539	RomanLondon	Reference																				
I15548	RomanLondon	Reference																				
I26702	RomanLondon	Reference																				
I26719	RomanLondon	Reference																				
I26753	RomanLondon	Reference																				
I26775	RomanLondon	Reference																				
I28388	RomanLondon	Reference																				
I28447	RomanLondon	Reference																				
I34980	RomanLondon	Reference																				
I15232	RomanLondon	Reference																				
I15493	RomanLondon	Reference																				
I15502	RomanLondon	Reference																				
I15512	RomanLondon	Reference																				
I15521	RomanLondon	Reference																				
I15531	RomanLondon	Reference																				
I15540	RomanLondon	Reference																				
I15549	RomanLondon	Reference																				
I26703	RomanLondon	Reference																				
I26745	RomanLondon	Reference																				
I26754	RomanLondon	Reference																				
I26776	RomanLondon	Reference																				
I28390	RomanLondon	Reference																				
I28448	RomanLondon	Reference																				
I35008	RomanLondon	Reference																				
I15485	RomanLondon	Reference																				
I15494	RomanLondon	Reference																				
I15503	RomanLondon	Reference																				
I15513	RomanLondon	Reference																				
I15522	RomanLondon	Reference																				
I15532	RomanLondon	Reference																				
I15541	RomanLondon	Reference																				
I15550	RomanLondon	Reference																				
I26704	RomanLondon	Reference																				
I26746	RomanLondon	Reference																				
I26761	RomanLondon	Reference																				
I26894	RomanLondon	Reference																				
I28392	RomanLondon	Reference																				
I32298	RomanLondon	Reference																				
I35010	RomanLondon	Reference																				
I15486	RomanLondon	Reference																				
I15495	RomanLondon	Reference																				
I15504	RomanLondon	Reference																				
I15514	RomanLondon	Reference																				
I15523	RomanLondon	Reference																				
I15533	RomanLondon	Reference																				
I15542	RomanLondon	Reference																				
I15551	RomanLondon	Reference																				
I26705	RomanLondon	Reference																				
I26747	RomanLondon	Reference																				
I26762	RomanLondon	Reference																				
I26895	RomanLondon	Reference																				
I28393	RomanLondon	Reference																				
I32299	RomanLondon	Reference																				
I35012	RomanLondon	Reference																				
I1116	RomanLondon	Reference																				
I15487	RomanLondon	Reference																				
I15496	RomanLondon	Reference																				
I15505	RomanLondon	Reference																				
I15515	RomanLondon	Reference																				
I15524	RomanLondon	Reference																				
I15534	RomanLondon	Reference																				
I15543	RomanLondon	Reference																				
I15552	RomanLondon	Reference																				
I26707	RomanLondon	Reference																				
I26748	RomanLondon	Reference																				
I26763	RomanLondon	Reference																				
I26897	RomanLondon	Reference																				
I28394	RomanLondon	Reference																				
I32300	RomanLondon	Reference																				
I35014	RomanLondon	Reference																				
KNF004	RomanLondon	Scheib																				
KNF005	RomanLondon	Scheib																				
KNF006	RomanLondon	Scheib																				
KNF013	RomanLondon	Scheib																				
KNF014	RomanLondon	Scheib																				
KNF015	RomanLondon	Scheib																				
KNF018	RomanLondon	Scheib																				
KNF020	RomanLondon	Scheib																				
KNF031	RomanLondon	Scheib																				
KNF032	RomanLondon	Scheib																				
NWC003	RomanLondon	Scheib																				
NWC004	RomanLondon	Scheib																				
NWC005	RomanLondon	Scheib																				
NWC006	RomanLondon	Scheib																				
NWC007	RomanLondon	Scheib																				
NWC009	RomanLondon	Scheib																				
NWC010	RomanLondon	Scheib																				
OVB001	RomanLondon	Scheib																				
OVB002	RomanLondon	Scheib																				
OVB006	RomanLondon	Scheib																				
OVB007	RomanLondon	Scheib																				
TRM003	RomanLondon	Scheib																				
ARB002	RomanLondon	Scheib																				
ARB012	RomanLondon	Scheib																				
